precinct,Lon,Lat
47,40.887616,-73.847513
50,40.883628,-73.90243
52,40.869237,-73.879625
49,40.856402,-73.8445
46,40.854169,-73.900112
34,40.851639,-73.935358
48,40.844033,-73.900396
33,40.840904,-73.935844
44,40.837702,-73.919526
45,40.830965,-73.827264
30,40.828985,-73.94363
43,40.823134,-73.869761
42,40.822594,-73.911184
41,40.816233,-73.895606
32,40.815893,-73.945337
26,40.814906,-73.956379
40,40.810504,-73.925261
28,40.808996,-73.952495
25,40.800952,-73.941014
24,40.796609,-73.96716
23,40.789185,-73.947094
20,40.784311,-73.97504
114,40.769417,-73.915305
19,40.767199,-73.963758
18,40.765073,-73.985115
109,40.762491,-73.827031
111,40.760297,-73.767768
115,40.756982,-73.875562
17,40.756816,-73.970798
14,40.753937,-73.995034
110,40.745382,-73.870027
108,40.74316,-73.954677
10,40.742818,-73.998601
13,40.736928,-73.982895
6,40.734171,-74.005508
107,40.73014,-73.810567
94,40.726935,-73.953251
9,40.726685,-73.987841
105,40.726278,-73.735128
112,40.722447,-73.851457
1,40.720508,-74.006948
7,40.716635,-73.983979
5,40.716331,-73.997477
103,40.707243,-73.792567
90,40.706477,-73.950582
104,40.704333,-73.893638
102,40.698807,-73.831494
83,40.698545,-73.917848
84,40.695498,-73.98289
88,40.690232,-73.960453
81,40.68987,-73.92419
79,40.689022,-73.944813
76,40.683874,-74.000226
106,40.682382,-73.839779
78,40.681041,-73.974166
113,40.67998,-73.775752
77,40.674869,-73.930299
75,40.671264,-73.881402
73,40.670999,-73.913524
71,40.664751,-73.947951
72,40.658488,-74.00089
67,40.648966,-73.95015
69,40.648605,-73.905033
120,40.644822,-74.077498
68,40.639121,-74.022718
70,40.630608,-73.973632
63,40.628063,-73.941577
66,40.625801,-73.991363
121,40.623858,-74.150666
101,40.603083,-73.749983
62,40.602663,-74.003093
61,40.594193,-73.960487
100,40.586345,-73.816519
60,40.576636,-73.976095
122,40.574238,-74.105669
123,40.512013,-74.250036